TRIP_ID,TRAVEL_TIME
T1,871.9646826187659
T2,729.2960367415453
T3,826.4808069891069
T4,714.4374144489477
T5,759.2739418711342
T6,954.8428457676875
T7,825.5945384133042
T8,832.1083705229041
T9,770.9879369362202
T10,857.7363123032499
T11,727.221858567462
T12,851.7436307043985
T13,777.5002219972833
T14,1100.8613813861225
T15,858.4751108976413
T16,871.843879414813
T17,838.6078785226645
T18,880.2861327163552
T19,910.6060190726025
T20,884.1733333598656
T21,833.1430679420555
T22,866.6708125819446
T23,832.2458823475115
T24,919.242816108734
T25,742.4848691399096
T26,843.8550846580721
T27,845.6148445949333
T28,893.2110717234367
T29,792.033554593029
T30,905.5486301863074
T31,836.6630414119229
T32,762.2644103789276
T33,833.0965093624671
T34,988.2531453125905
T35,936.6051721798178
T36,849.9382265431134
T37,923.2904013421751
T38,762.5100396934009
T39,843.1263202721296
T40,782.4205068461152
T41,717.7645929939108
T42,807.9980555018599
T43,899.4383479249113
T44,780.8779028311646
T45,740.3517350117963
T46,820.7631390830619
T47,839.4791495814627
T48,839.4004538342413
T49,786.027126579182
T50,717.1602209145392
T51,852.7189732535005
T52,803.4263126346783
T53,734.8968797565989
T54,862.8896524401894
T55,931.7936319193637
T56,697.6098503463832
T57,764.1033703769496
T58,724.9550824700246
T59,994.2505721823143
T60,854.2830356050549
T61,917.3889984025225
T62,821.8193744939506
T63,809.120097405912
T64,895.121188341315
T65,733.450584763041
T66,834.3511224799618
T67,829.9628639919848
T68,750.4502760951524
T69,891.3890499736426
T70,645.163054267743
T71,842.034772093487
T72,955.5033285693867
T73,850.1163376302896
T74,911.0149402837301
T75,655.7228352349806
T76,785.9889531460672
T77,673.6121997416386
T78,797.82052936609
T79,780.7444908497805
T80,833.2448850147309
T81,754.8840960915916
T82,866.8369719085108
T83,800.8133354332701
T84,876.1565113440731
T85,596.10178470013
T86,732.6698833361959
T87,818.8142366220295
T88,796.0173437707122
T90,576.9372971237685
T91,764.8283687546068
T92,761.2042894273874
T93,706.582833133929
T94,770.2579304504495
T95,755.3770633944155
T96,666.9217608795852
T98,1142.2960476553533
T99,769.9396296658736
T100,838.9512332091474
T101,776.5730980534207
T102,703.4310395983615
T103,686.878804724381
T104,758.3285683971891
T107,795.4716642390397
T109,610.2550848500146
T110,670.6533495188357
T111,769.5099803666527
T112,787.1510748673205
T113,561.4371176845514
T114,748.1308283691682
T115,795.159340694746
T116,752.0551041785102
T117,712.2347560472931
T118,666.3733876393351
T119,662.9969451757452
T120,802.9394117531662
T121,810.8536854404588
T122,616.9944900773345
T123,676.9442645602381
T124,688.41978917943
T125,671.592991957407
T126,691.331537271169
T127,726.4698773615933
T128,661.4216920043199
T129,700.9976577820615
T130,627.6168599625624
T131,665.7722960466172
T132,709.9776886733705
T133,762.0837741231194
T134,748.2903233180315
T135,647.4068657824182
T136,522.6400067665996
T137,678.3808516308466
T138,738.7492650194195
T139,788.5314502389776
T140,719.5487590467364
T141,885.9129704203621
T142,865.8492847198886
T143,623.2155733928207
T144,726.4983664897024
T145,798.2389598897315
T146,843.6693208234883
T147,633.0329539301416
T148,753.7473237387334
T149,886.797742563311
T151,702.0555583020699
T152,799.6893039031684
T153,602.7637984525498
T154,782.8152953239805
