TRIP_ID,TRAVEL_TIME
T1,769.8636599681516
T2,724.0830704900939
T3,742.0853799422028
T4,670.519510042323
T5,693.933955577873
T6,914.369079323733
T7,753.8824787757916
T8,784.0407209108279
T9,703.4003927720555
T10,768.690399281778
T11,710.0821372727648
T12,832.6281151997806
T13,785.6292799316917
T14,1284.4546548652966
T15,824.1990129097313
T16,826.2265436802223
T17,825.5593796993347
T18,843.3044254089581
T19,788.8462502262884
T20,836.8922262928146
T21,758.4388247030475
T22,812.5732119390906
T23,792.3742317022233
T24,787.3706231667339
T25,710.8156484371989
T26,773.1994100824628
T27,782.0318438613762
T28,773.6583384570298
T29,780.2361949662733
T30,793.9898600652679
T31,759.3090824204327
T32,720.2800822529507
T33,849.4453893736508
T34,973.9924497701544
T35,865.7656410174671
T36,807.4047363337589
T37,845.7493274796981
T38,695.6757077960058
T39,764.3515736802359
T40,705.0990440863071
T41,705.2222688548532
T42,753.2311606658401
T43,880.4829446584141
T44,727.2614885606221
T45,712.0358803434392
T46,745.9929486194179
T47,818.1676891910696
T48,828.8338643957799
T49,679.0319707262922
T50,682.2004033882033
T51,960.2600780192976
T52,747.1808511167768
T53,670.5126550053191
T54,778.9741843995065
T55,816.3798868308075
T56,679.1209356417797
T57,709.3168538280609
T58,684.8433960907182
T59,982.9868949925336
T60,792.6777579582043
T61,794.0012053454521
T62,826.0397374499636
T63,765.5656565413714
T64,826.035186451979
T65,663.7846017334266
T66,745.5871133730353
T67,732.0364148655673
T68,693.709466337945
T69,859.016537372865
T70,621.0574886679245
T71,801.6654299249864
T72,926.6180221513897
T73,770.4797366834499
T74,895.1539057013609
T75,650.8608182247392
T76,875.4504977291459
T77,627.2611643018291
T78,877.638329508119
T79,882.6725843596172
T80,1163.2098884617467
T81,762.0217400893706
T82,843.7857815941073
T83,776.7411594371562
T84,920.7923502168597
T85,624.8798844660598
T86,752.0497509952455
T87,900.5017524929054
T88,850.2739200594241
T90,612.1988847245739
T91,752.0752917598843
T92,748.4378371859249
T93,818.3676265069
T94,863.8760795802885
T95,753.8974124056912
T96,624.8313415539683
T98,1505.5531424818146
